date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:42:13	84245/84245	---M-Z	200	added ('OK')	application/javascript	etag:%2214915-5c86c9c8c0b00-gzip%22	https://metaverse.aavebot.org/ajax/libs/jquery/2.1.1/jquery.min.js	C:/Users/2021CQ/Desktop/https___metaverseaavebot.netlify.app_/metaverse.aavebot.org/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://metaverseaavebot.netlify.app/)
22:42:14	13360/13360	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2d-3430%22	https://cdnjs.cloudflare.com/ajax/libs/crypto-js/3.1.2/rollups/aes.js	C:/Users/2021CQ/Desktop/https___metaverseaavebot.netlify.app_/cdnjs.cloudflare.com/ajax/libs/crypto-js/3.1.2/rollups/aes.js	(from https://metaverseaavebot.netlify.app/)
22:42:15	1337884/1337884	---M-Z	200	added ('OK')	application/javascript	etag:%22606b8a3c-146a1c%22	https://cdnjs.cloudflare.com/ajax/libs/web3/1.3.5/web3.min.js	C:/Users/2021CQ/Desktop/https___metaverseaavebot.netlify.app_/cdnjs.cloudflare.com/ajax/libs/web3/1.3.5/web3.min.js	(from https://metaverseaavebot.netlify.app/)
22:42:15	268/268	---M--	200	added ('OK')	application/octet-stream	etag:%2236b322575d9fc3297a73b0d9a29d51e2-ssl%22	https://metaverseaavebot.netlify.app/assets/js/addr.min.jsv=1	C:/Users/2021CQ/Desktop/https___metaverseaavebot.netlify.app_/metaverseaavebot.netlify.app/assets/js/addr.min.jsv=1	(from https://metaverseaavebot.netlify.app/)
22:42:17	4198/4198	---M-Z	200	added ('OK')	application/octet-stream	etag:%227b4d60510a4490417da11713016835bd-ssl-df%22	https://metaverseaavebot.netlify.app/assets/js/chain.min.jsv=1	C:/Users/2021CQ/Desktop/https___metaverseaavebot.netlify.app_/metaverseaavebot.netlify.app/assets/js/chain.min.jsv=1	(from https://metaverseaavebot.netlify.app/)
22:42:18	14733/14733	---M-Z	200	added ('OK')	application/octet-stream	etag:%22f98eb6f8d12ad467871bc26f4c14fbf3-ssl-df%22	https://metaverseaavebot.netlify.app/assets/js/script.min.jsv=1	C:/Users/2021CQ/Desktop/https___metaverseaavebot.netlify.app_/metaverseaavebot.netlify.app/assets/js/script.min.jsv=1	(from https://metaverseaavebot.netlify.app/)
22:42:18	40157/40157	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261656ca1-9cdd%22	https://www.statcounter.com/counter/counter.js	C:/Users/2021CQ/Desktop/https___metaverseaavebot.netlify.app_/www.statcounter.com/counter/counter.js	(from https://metaverseaavebot.netlify.app/)
22:42:19	49584/49584	---M--	200	added ('OK')	font/ttf	etag:%22d789cd75a6672ed7cd6ce783aa826a56-ssl%22	https://metaverseaavebot.netlify.app/assets/css/optimist-normal.ttf	C:/Users/2021CQ/Desktop/https___metaverseaavebot.netlify.app_/metaverseaavebot.netlify.app/assets/css/optimist-normal.ttf	(from https://metaverseaavebot.netlify.app/assets/css/styles.css)
22:42:22	49528/49528	---M--	200	added ('OK')	font/ttf	etag:%2247fe4dc8879ea0bfbd850ccaf3af8c89-ssl%22	https://metaverseaavebot.netlify.app/assets/css/optimist-bold.ttf	C:/Users/2021CQ/Desktop/https___metaverseaavebot.netlify.app_/metaverseaavebot.netlify.app/assets/css/optimist-bold.ttf	(from https://metaverseaavebot.netlify.app/assets/css/styles.css)
22:42:22	3868/3868	---M--	200	added ('OK')	image/png	etag:%221b37ed618ca7cbaf946c9533da8c9ec2-ssl%22	https://metaverseaavebot.netlify.app/0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee.png	C:/Users/2021CQ/Desktop/https___metaverseaavebot.netlify.app_/metaverseaavebot.netlify.app/0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee.png	(from https://metaverseaavebot.netlify.app/assets/css/styles.css)
